Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-02-23;2,6841;2,8422;2,6411;2,7372;;
2017-02-22;2,5354;2,7482;2,5354;2,6006;;
2017-02-21;2,8251;2,9154;2,5435;2,5584;;
2017-02-20;2,795;2,924;2,7683;2,8561;;
2017-02-17;2,8457;3,007;2,8238;2,8347;;
2017-02-16;2,9139;3,0666;2,8413;2,8485;;
2017-02-15;2,9482;2,9817;2,9075;2,9085;;
2017-02-14;2,9125;2,9415;2,8742;2,9068;;
2017-02-13;2,9739;2,9843;2,934;2,9395;;
2017-02-10;3,0477;3,0528;2,9975;3,0362;;
2017-02-09;3,1723;3,1774;3,1069;3,1309;;
2017-02-08;3,1167;3,1482;3,0495;3,1291;;
2017-02-07;3,0613;3,1345;3,0565;3,1252;;
2017-02-06;3,0589;3,0643;2,9991;3,0474;;
2017-02-03;3,1441;3,1479;3,0346;3,0515;;
2017-02-02;3,2005;3,2005;3,1075;3,1714;;
2017-02-01;3,1419;3,2175;3,1398;3,1684;;
2017-01-31;3,1928;3,1976;3,1036;3,1234;;
